Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban,,,,
3,01LUR,7023,I5-14,NCOT10-FALP,,190,100,4,,,,
3,01LUR,7023,I5-13,NCOT10-FALP,,200,100,4,,,,
3,01MNP,7119,H1-18,NCOT7-FALP,,130,100,4,,,,
3,01MNP,7023,H5-26,NCOT7-FALP,,620,100,4,,,,
3,07161,7023,G6-04,VO6X0.5(B),WITH SLIT,55,100,4,,,,
3,07161,7023,F6-35,VO6X0.5(B),,65,100,4,,,,
3,07161,7023,F6-32,VO6X0.5(B),WITH SLIT,70,100,4,,,,
3,07161,7121,G6-10,VO6X0.5(B),WITH SLIT,105,100,4,,,,
3,07161,7122,G6-10,VO6X0.5(B),WITH SLIT,105,100,4,,,,
3,07161,7118,G6-10,VO6X0.5(B),WITH SLIT,105,100,4,,,,
3,07161,7118,G6-13,VO6X0.5(B),WITH SLIT,120,100,4,,,,
3,07161,7119,G6-18,VO6X0.5(B),WITH SLIT,165,100,4,,,,
3,07161,7119,G6-19,VO6X0.5(B),WITH SLIT,170,100,4,,,,
3,07161,7118,G6-20,VO6X0.5(B),WITH SLIT,175,100,4,,,,
3,07161,7023,G6-46,VO6X0.5(B),,210,100,4,,,,
3,07161,7023,G6-48,VO6X0.5(B),,225,100,4,,,,
3,07161,7023,G6-28,VO6X0.5(B),WITH SLIT,310,100,4,,,,
3,07161,7118,G6-28,VO6X0.5(B),WITH SLIT,310,100,4,,,,
3,07161,7023,G6-31,VO6X0.5(B),WITH SLIT,390,100,4,,,,
3,07161,7023,F6-25,VO6X0.5(B),WITH SLIT,400,100,4,,,,
3,07161,7023,F6-26,VO6X0.5(B),WITH SLIT,440,100,4,,,,
3,07161,7119,F6-27,VO6X0.5(B),WITH SLIT,445,100,4,,,,
3,07161,7119,G1-26,VO6X0.5(B),,455,100,4,,,,
3,07291,7023,F6-15,VO8X0.5(B),,45,100,4,,,,
3,07291,7121,F6-01,VO8X0.5(B),WITH SLIT,50,100,4,,,,
3,07291,7122,F6-01,VO8X0.5(B),WITH SLIT,50,100,4,,,,
3,07291,7119,F6-01,VO8X0.5(B),WITH SLIT,50,100,4,,,,
3,7291,7118,F6-17,VO8X0.5(B),,85,100,4,,,,
3,7291,7121,G5-07,VO8X0.5(B),WITH SLIT,105,100,4,,,,
3,7291,7122,G5-07,VO8X0.5(B),WITH SLIT,105,100,4,,,,
3,7291,7118,F6-03,VO8X0.5(B),WITH SLIT,120,100,4,,,,
3,7291,7119,F6-03,VO8X0.5(B),WITH SLIT,120,100,4,,,,
3,7291,7121,F6-04,VO8X0.5(B),WITH SLIT,145,100,4,,,,
3,7291,7122,F6-04,VO8X0.5(B),WITH SLIT,145,100,4,,,,
3,7291,7119,F6-04,VO8X0.5(B),WITH SLIT,145,100,4,,,,
3,7291,7118,F6-05,VO8X0.5(B),WITH SLIT,200,100,4,,,,
3,7291,7121,F6-07,VO8X0.5(B),WITH SLIT,245,100,4,,,,
3,7291,7122,F6-07,VO8X0.5(B),WITH SLIT,245,100,4,,,,
3,7291,7119,G5-18,VO8X0.5(B),WITH SLIT,260,100,4,,,,
3,7291,7119,F6-08,VO8X0.5(B),WITH SLIT,280,100,4,,,,
3,7291,7118,F6-10,VO8X0.5(B),WITH SLIT,385,100,4,,,,
3,07319,7118,G4-31,VO10X0.5(B),WITH SLIT,105,100,4,,,,
3,07319,7118,G4-32,VO10X0.5(B),WITH SLIT,125,100,4,,,,
3,07319,7023,G4-09,VO10X0.5(B),WITH SLIT,130,100,4,,,,
3,07319,7023,G4-30,VO10X0.5(B),WITH SLIT,155,100,4,,,,
3,07319,7023,G4-33,VO10X0.5(B),WITH SLIT,160,100,4,,,,
3,07319,7118,G4-34,VO10X0.5(B),WITH SLIT,170,100,4,,,,
3,07319,7121,G4-12,VO10X0.5(B),WITH SLIT,210,100,4,,,,
3,07319,7122,G4-12,VO10X0.5(B),WITH SLIT,210,100,4,,,,
3,07319,7121,G4-37,VO10X0.5(B),WITH SLIT,480,100,4,,,,
3,07319,7122,G4-37,VO10X0.5(B),WITH SLIT,480,100,4,,,,
3,07410,7119,G3-25,VO12X0.5(B),WITH SLIT,35,100,4,,,,
3,07410,7119,G3-04,VO12X0.5(B),WITH SLIT,75,100,4,,,,
3,07410,7118,G3-26,VO12X0.5(B),WITH SLIT,460,100,4,,,,
3,07452,7119,G2-07,VO14X0.5(B),WITH SLIT,155,100,4,,,,
3,07473,7023,G1-23,VO16X0.6(B),WITH SLIT,285,100,4,,,,
3,07161,7116,G6-10,VO6X0.5(B),WITH SLIT,105,100,4,,,,
3,07161,7118,G6-13,VO6X0.5(B),WITH SLIT,120,100,4,,,,
3,07161,7116,G6-20,VO6X0.5(B),WITH SLIT,175,100,4,,,,
3,07161,7116,G6-28,VO6X0.5(B),WITH SLIT,310,100,4,,,,
3,07291,7116,F6-17,VO8X0.5(B),,85,100,4,,,,
3,07291,7116,F6-03,VO8X0.5(B),WITH SLIT,120,100,4,,,,
3,07291,7116,F6-05,VO8X0.5(B),WITH SLIT,200,100,4,,,,
3,07291,7116,F6-10,VO8X0.5(B),WITH SLIT,385,100,4,,,,
3,07319,7116,G4-31,VO10X0.5(B),WITH SLIT,105,100,4,,,,
3,07319,7116,G4-32,VO10X0.5(B),WITH SLIT,125,100,4,,,,
3,07319,7116,G4-34,VO10X0.5(B),WITH SLIT,170,100,4,,,,
3,07410,7116,G3-26,VO12X0.5(B),WITH SLIT,460,100,4,,,,
3,01MNP,7120,H1-18,NCOT7-FALP,,130,100,4,,,,
3,07161,7120,G6-18,VO6X0.5(B),WITH SLIT,165,100,4,,,,
3,07161,7120,G6-19,VO6X0.5(B),WITH SLIT,170,100,4,,,,
3,07161,7120,F6-27,VO6X0.5(B),WITH SLIT,445,100,4,,,,
3,07161,7120,G1-26,VO6X0.5(B),,455,100,4,,,,
3,07291,7120,F6-01,VO8X0.5(B),WITH SLIT,50,100,4,,,,
3,07291,7120,F6-03,VO8X0.5(B),WITH SLIT,120,100,4,,,,
3,07291,7120,F6-04,VO8X0.5(B),WITH SLIT,145,100,4,,,,
3,07291,7120,G5-18,VO8X0.5(B),WITH SLIT,260,100,4,,,,
3,07291,7120,F6-08,VO8X0.5(B),WITH SLIT,280,100,4,,,,
3,07410,7120,G3-25,VO12X0.5(B),WITH SLIT,35,100,4,,,,
3,07410,7120,G3-04,VO12X0.5(B),WITH SLIT,75,100,4,,,,
3,07452,7120,G2-07,VO14X0.5(B),WITH SLIT,155,100,4,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
